B1,B2,B3,B4,BonusBall
4,18,30,32,8
3,9,16,28,7
3,20,22,30,12
11,23,26,30,24
22,31,32,33,21
6,9,12,28,9
1,9,18,19,35
9,15,32,34,15
2,3,28,34,30
12,15,21,27,12
2,14,27,35,24
9,19,26,33,29
1,12,27,33,25
1,10,17,28,24
9,19,30,34,21
4,14,22,30,9
5,15,18,24,10
3,8,19,29,2
3,18,26,35,19
5,6,24,28,21
2,3,14,30,4
12,22,28,32,18
11,13,15,24,5
10,12,21,32,28
15,19,27,33,13
1,7,17,28,24
7,9,21,32,3
18,21,27,30,22
9,14,26,34,10
2,6,10,30,31
21,25,26,34,11
10,11,25,30,33
18,21,23,28,4
1,3,4,25,17
24,25,27,31,20
1,2,4,22,30
4,7,10,31,12
4,14,29,30,21
22,23,24,34,13
8,11,12,19,13
16,23,25,28,5
8,23,25,33,18
9,15,33,35,9
5,18,19,23,13
14,19,30,35,26
5,6,12,35,30
1,8,17,27,8
7,14,25,35,32
3,21,25,34,30
4,10,21,30,31
10,12,15,25,15
13,22,24,27,2
12,32,33,34,24
1,4,8,23,26
6,24,25,34,9
2,11,24,29,11
3,4,5,28,11
3,7,8,32,28
4,17,26,34,33
4,16,28,29,12
4,15,21,26,21
9,16,20,26,9
1,6,16,31,28
3,8,16,31,21
4,14,18,34,27
8,9,20,24,13
2,26,29,33,32
1,5,10,35,20
3,4,23,34,15
1,10,26,29,13
6,27,28,32,34
10,12,19,29,17
4,19,25,28,6
6,13,21,22,11
2,5,23,28,16
7,13,15,21,32
8,11,21,28,9
10,16,23,30,30
2,7,20,26,30
2,6,12,31,2
7,25,29,30,1
2,3,19,27,17
3,20,28,34,21
3,5,8,24,7
7,25,31,35,22
1,24,28,33,29
6,12,16,17,1
2,27,29,31,14
7,22,28,35,10
3,5,6,20,34
7,25,32,33,20
7,11,12,17,12
3,25,30,35,35
7,16,25,26,14
5,15,19,22,8
2,10,27,28,11
5,8,12,18,4
2,13,23,32,29
2,4,30,35,11
11,24,29,30,34
1,4,17,35,19
1,13,29,33,13
16,19,20,23,7
18,22,25,30,15
10,15,21,31,23
16,22,24,28,18
3,21,22,24,28
15,16,29,30,5
14,15,18,23,15
1,4,6,21,22
15,16,19,29,27
15,23,27,34,20
5,11,15,21,27
12,19,34,35,20
10,14,15,23,34
11,15,22,34,19
21,24,29,30,20
3,17,19,20,4
10,17,20,31,2
5,19,22,31,35
13,20,30,34,8
1,2,24,25,24
3,5,17,23,20
12,15,16,32,21
22,26,33,35,31
4,14,20,22,25
9,10,19,27,24
2,22,29,32,32
3,6,31,34,10
22,26,27,32,8
7,9,14,34,30
7,16,22,30,35
5,16,26,35,12
6,11,28,32,35
3,4,17,27,18
5,9,30,33,24
8,9,11,19,17
16,20,26,29,25
6,12,14,21,3
25,26,27,29,32
1,6,15,22,17
10,11,23,32,10
1,3,6,20,12
1,18,28,33,9
2,4,16,24,30
1,18,31,32,5
5,8,16,23,25
2,5,25,35,28
9,14,15,24,20
10,24,29,34,31
26,27,29,34,18
3,24,28,35,31
3,8,10,12,13
7,16,17,28,18
8,11,12,14,32
1,7,20,30,15
3,12,22,25,7
2,7,16,28,13
2,5,18,27,30
14,19,22,35,9
13,16,20,30,32
9,24,26,33,22
9,18,26,30,19
9,14,18,25,4
1,5,7,12,16
2,9,10,30,3
7,15,32,34,8
9,10,26,27,4
6,15,27,33,20
1,3,25,27,14
7,9,16,27,15
1,7,8,28,33
4,19,32,33,14
2,13,32,33,12
2,18,29,30,3
4,7,25,32,23
8,20,24,26,24
5,9,10,24,9
1,5,23,34,17
22,23,31,35,3
19,20,21,28,32
8,11,22,28,30
14,18,23,33,33
10,18,24,32,19
8,27,31,34,5
2,8,25,33,16
17,18,19,31,17
4,7,8,11,11
17,24,33,34,12
13,28,30,31,31
8,16,20,33,2
12,16,21,35,31
12,19,28,30,23
1,6,11,19,10
9,16,24,26,31
3,11,16,34,8
18,24,26,30,29
8,21,25,26,33
8,21,23,25,30
3,22,29,33,5
15,19,28,29,1
6,13,27,30,18
12,23,26,28,34
3,4,13,21,6
3,4,15,17,21
5,7,12,35,19
4,20,30,32,8
18,20,34,35,12
7,8,24,32,5
4,5,16,17,30
17,26,27,33,24
10,12,13,32,30
2,10,12,17,34
9,19,21,32,6
9,19,22,31,24
12,14,18,25,31
25,28,33,35,9
6,16,25,31,9
20,23,28,33,23
9,19,20,31,21
2,7,17,30,13
17,19,33,34,5
11,12,19,29,14
10,25,28,34,13
1,11,18,23,16
6,7,22,24,19
1,3,17,32,3
10,17,20,25,33
4,5,31,32,32
14,18,27,34,1
19,21,22,31,7
8,18,21,25,29
15,17,20,33,7
8,10,13,26,22
10,27,29,35,2
2,14,23,25,19
10,11,28,31,26
1,27,28,34,13
9,10,14,16,2
22,23,25,28,6
6,7,12,19,31
8,10,23,34,22
3,20,23,27,30
4,9,18,19,31
6,22,27,32,14
1,8,22,26,12
1,10,11,17,15
5,13,14,15,2
6,12,29,34,12
6,16,19,33,28
5,18,23,30,30
4,7,19,32,26
6,14,18,27,28
11,21,31,33,23
7,22,32,35,32
3,16,17,35,17
4,16,21,22,11
7,8,11,25,16
5,20,22,34,1
7,12,18,26,13
15,16,30,33,12
9,10,22,31,27
11,22,29,32,22
1,15,29,34,33
18,21,26,35,9
3,8,20,35,2
14,16,25,34,31
11,20,25,27,31
5,19,33,34,5
15,16,29,32,17
2,12,30,34,18
3,10,17,25,15
7,24,28,33,16
12,17,24,26,25
11,17,22,30,21
4,11,13,24,22
2,4,31,34,9
5,16,32,34,5
1,2,31,32,1
8,14,18,35,12
12,15,18,26,19
7,13,15,34,6
19,23,32,35,7
6,24,29,33,15
2,12,20,27,9
6,15,19,25,3
13,17,25,33,6
3,12,24,29,23
6,16,20,34,17
25,26,27,30,4
22,24,26,27,8
4,17,31,32,13
16,20,27,28,34
4,5,33,35,21
1,4,17,22,5
10,15,22,26,19
9,26,29,33,5
11,21,26,30,33
6,10,19,21,16
6,16,17,32,5
5,25,26,33,19
5,10,26,30,6
1,16,20,21,31
4,13,14,17,28
3,8,25,26,22
8,9,15,23,11
1,16,32,33,4
10,14,24,30,9
9,16,19,29,23
4,9,26,32,30
9,14,18,30,1
7,19,28,31,30
4,7,15,23,27
13,15,18,31,5
2,5,18,21,31
7,11,12,27,18
8,9,15,26,27
10,22,24,35,32
2,19,29,35,24
4,6,11,31,27
1,3,10,25,25
5,19,33,35,29
2,7,10,19,20
3,13,32,35,16
15,19,24,26,24
4,10,27,29,28
10,12,17,21,17
5,13,30,31,4
1,5,10,13,33
9,11,25,27,26
1,5,8,21,18
7,19,20,31,5
12,14,25,26,31
4,20,25,28,30
4,16,23,35,25
4,13,21,32,20
8,20,25,26,11
2,12,19,29,27
6,7,19,33,30
1,14,22,27,9
17,18,27,35,28
11,18,23,29,17
4,15,18,29,33
15,19,28,35,24
2,6,27,31,20
2,19,20,33,6
19,25,29,33,7
3,7,11,24,22
4,7,14,19,34
2,4,10,23,16
16,22,27,31,26
2,20,27,33,12
1,15,25,30,22
4,9,23,26,6
8,10,15,25,24
13,18,31,32,31
11,14,16,19,16
1,19,23,35,17
12,15,21,35,9
12,22,31,33,4
5,8,18,34,18
16,18,27,31,21
11,17,22,30,24
2,8,27,35,30
6,18,20,24,12
8,9,34,35,21
2,9,10,21,21
2,4,20,24,14
17,22,31,32,26
4,17,30,34,14
12,13,17,29,20
1,18,31,33,14
11,16,18,34,27
3,14,20,25,6
6,13,25,31,5
10,17,20,21,16
4,7,11,22,18
10,13,15,17,22
3,7,8,10,8
11,12,24,35,1
1,8,18,33,22
7,8,9,15,23
1,22,25,31,29
2,8,19,25,12
1,4,13,22,32
2,20,23,29,4
4,5,24,25,9
9,11,12,31,2
16,17,18,30,19
6,8,22,32,20
5,15,23,31,23
10,17,29,34,9
6,10,22,28,20
2,7,13,23,32
3,6,18,19,21
6,18,30,34,23
10,13,24,28,17
12,15,30,34,11
1,3,13,33,15
4,14,19,27,6
1,6,15,23,27
5,12,14,28,20
6,14,19,26,10
1,3,18,33,22
1,4,5,17,14
18,23,24,26,11
7,8,10,18,15
2,6,10,25,34
12,13,20,33,3
11,25,26,31,16
4,6,10,21,26
3,13,17,35,19
4,17,22,32,17
12,26,31,35,29
8,31,32,34,5
7,21,22,29,13
1,4,17,23,32
13,16,27,34,11
11,17,26,28,33
2,5,22,30,9
5,18,19,24,18
12,23,26,27,17
2,6,16,19,14
12,13,15,24,28
4,10,28,30,28
6,12,17,20,26
12,15,18,21,30
2,26,28,33,25
18,22,34,35,7
15,19,29,33,32
17,23,24,27,11
7,16,24,35,1
14,32,33,34,20
12,23,30,34,22
4,11,26,30,20
16,20,29,34,22
8,15,16,29,30
7,13,26,29,6
14,19,21,26,7
7,30,31,35,28
5,23,33,35,31
17,23,33,34,23
7,17,26,31,28
8,16,19,29,4
1,15,16,24,8
2,14,18,24,28
11,21,26,29,20
11,13,21,28,2
16,20,26,31,12
3,15,22,32,15
1,20,22,26,16
3,20,24,35,14
1,4,11,12,22
1,4,9,19,12
2,15,27,33,24
6,14,17,24,21
4,13,24,26,9
1,12,31,34,12
11,16,19,30,12
1,10,27,29,12
9,22,23,28,22
14,19,29,30,27
7,15,16,27,17
10,13,27,30,15
18,19,24,25,25
3,13,21,30,24
15,21,23,34,11
2,15,16,34,32
8,12,20,21,33
6,8,16,25,13
5,21,28,33,11
4,28,30,31,23
7,16,17,23,3
19,21,30,33,32
4,16,18,32,28
2,5,8,22,13
6,14,20,28,14
3,15,17,34,22
17,21,22,27,26
1,6,20,25,33
2,7,9,21,2
15,17,31,35,14
14,23,31,34,30
1,8,16,17,2
1,19,31,33,33
7,19,22,30,8
1,5,24,28,31
8,9,12,35,27
7,9,12,17,17
8,15,25,32,11
6,8,14,33,10
3,12,16,19,13
6,8,9,33,4
4,16,29,33,17
4,6,16,17,9
17,19,27,30,10
3,18,26,32,6
7,20,28,29,35
22,25,29,33,1
5,8,30,31,2
2,10,24,26,34
1,5,6,24,5
1,6,17,29,2
21,27,30,32,20
1,2,10,23,28
10,22,25,29,5
1,4,5,9,33
1,7,19,34,2
4,20,26,32,6
3,11,21,25,4
2,5,6,24,1
4,13,32,35,5
11,14,24,26,35
5,7,10,18,19
4,6,31,33,30
3,4,6,33,8
4,23,26,28,26
8,13,21,31,12
14,15,19,26,7
2,10,22,34,30
6,11,25,32,4
3,12,24,26,17
2,14,32,34,18
10,12,23,32,16
8,20,22,35,13
2,4,12,20,18
9,20,23,32,7
13,14,15,33,3
2,6,27,31,6
1,6,7,14,19
2,4,26,31,3
4,5,10,34,15
5,20,26,27,29
6,30,31,34,21
1,9,17,32,31
17,19,31,33,13
4,19,24,26,33
2,3,9,15,16
6,16,33,35,11
21,23,31,32,5
7,11,15,18,30
9,26,29,33,3
4,10,14,26,24
5,15,26,30,30
12,27,31,35,18
4,10,19,24,4
1,2,13,24,20
2,13,21,26,27
8,10,22,34,33
2,3,15,31,19
10,16,30,34,25
1,11,25,27,29
6,11,31,33,13
2,11,16,22,22
3,16,18,20,16
2,14,17,22,35
2,10,16,34,11
6,27,28,29,10
5,8,33,34,20
21,23,25,33,5
5,11,14,28,27
16,20,21,31,11
17,18,19,33,24
6,8,29,31,32
13,24,30,31,5
9,14,17,27,3
23,28,32,33,3
25,31,32,34,33
1,4,18,20,20
1,2,25,27,18
3,5,22,27,26
13,22,24,29,23
3,22,28,30,10
5,19,20,35,12
5,12,26,33,22
3,14,26,30,22
4,5,19,28,32
3,22,30,33,3
2,3,18,23,8
1,15,23,29,4
7,10,18,33,31
4,13,18,35,25
11,13,27,32,3
5,19,23,28,2
17,23,24,34,7
8,20,26,30,27
3,8,11,30,29
5,6,12,19,5
3,5,18,31,3
3,5,8,10,30
4,9,18,23,29
3,14,18,24,24
8,10,24,26,17
1,13,21,24,1
9,15,30,34,2
1,15,22,27,26
6,23,27,32,20
5,11,16,31,11
2,18,19,25,33
14,17,18,24,13
1,4,22,30,18
1,7,15,21,20
23,25,30,32,20
5,6,25,29,19
9,13,29,32,27
18,19,22,25,24
5,22,25,28,34
20,25,30,34,17
4,14,17,18,15
17,20,23,35,25
1,4,13,34,18
1,15,23,28,31
3,8,27,29,29
3,24,26,28,14
4,8,11,27,9
10,11,21,28,30
10,13,16,20,27
9,29,34,35,28
3,19,27,29,13
4,14,19,23,24
2,13,32,34,17
5,7,30,35,4
1,4,28,32,6
11,25,29,34,17
1,15,18,22,7
4,12,25,35,31
7,9,14,21,1
4,9,19,21,1
12,14,20,34,31
6,23,29,34,3
6,9,13,27,33
1,10,26,29,34
9,17,19,23,1
15,24,28,32,17
5,8,10,11,12
4,21,24,28,5
4,6,18,19,15
8,15,28,32,35
10,21,26,32,28
2,3,7,18,32
14,15,19,20,34
4,21,29,32,32
4,13,21,34,4
9,23,25,29,34
5,13,16,30,11
3,8,20,26,5
1,4,14,25,3
3,9,22,34,29
2,26,31,32,26
5,7,25,33,4
2,11,26,35,25
7,12,15,19,4
12,16,20,33,13
1,6,11,25,12
1,17,21,23,20
1,4,8,31,11
21,23,26,29,18
1,5,18,28,15
4,6,12,32,5
4,20,24,29,27
1,15,21,25,30
12,17,20,25,30
1,8,12,18,33
18,23,25,26,22
1,6,10,14,1
11,18,26,30,35
5,9,19,22,27
7,25,30,35,12
2,13,24,26,16
3,15,22,30,29
3,11,19,30,17
3,6,28,30,24
3,8,9,28,18
12,15,27,34,35
7,22,26,29,7
3,4,30,32,27
17,20,25,27,29
16,19,24,26,28
10,14,28,34,19
16,17,19,34,23
2,8,26,29,24
1,5,10,19,20
3,9,21,22,22
13,14,17,30,25
16,20,25,27,4
6,13,18,29,26
3,9,10,11,30
1,11,12,27,20
2,10,15,16,12
5,17,21,32,10
9,16,23,33,34
7,13,20,28,25
4,11,15,20,5
4,8,18,32,10
2,13,24,35,19
5,11,15,35,29
9,10,16,35,15
21,31,32,35,35
11,13,25,34,21
11,20,21,29,9
11,30,31,35,32
12,23,24,34,11
8,25,27,31,9
2,23,24,30,6
10,14,27,30,24
1,9,23,31,14
3,14,28,29,8
3,13,20,25,6
12,18,29,30,31
9,16,25,27,20
4,12,27,28,20
14,26,32,34,18
2,7,29,33,3
5,6,8,16,14
1,6,8,30,30
5,13,16,24,15
22,26,28,32,16
16,21,26,32,19
1,17,23,34,12
1,2,4,29,31
3,4,12,32,18
4,9,13,33,19
19,21,25,30,2
7,13,16,21,11
1,4,23,32,26
7,23,26,33,3
1,8,12,13,27
21,25,28,30,22
4,21,26,34,26
4,8,25,31,24
2,9,25,30,26
11,21,22,28,32
2,16,19,35,22
4,19,20,30,27
1,15,26,28,35
5,17,20,32,28
4,8,13,30,27
8,10,12,30,32
12,18,30,35,5
3,13,19,34,24
12,17,28,32,25
4,17,27,32,2
2,7,20,24,30
3,4,19,34,7
6,14,17,26,30
8,12,27,29,23
2,5,21,26,24
1,22,26,29,25
4,9,22,25,1
5,13,31,33,34
4,7,10,14,4
1,4,24,28,25
1,28,31,32,22
17,21,24,34,11
3,13,21,34,15
13,20,31,33,28
3,13,28,35,2
2,21,29,33,21
2,16,24,28,13
16,21,22,33,9
17,18,23,25,15
4,5,14,35,5
1,5,15,28,6
4,13,16,32,29
2,4,15,30,6
6,14,30,33,12
18,21,24,28,11
1,17,23,29,32
13,16,17,21,32
7,10,24,26,25
9,30,32,34,14
2,25,26,28,5
9,20,26,30,13
15,17,28,29,22
4,17,22,35,2
8,17,31,33,13
12,17,28,31,31
3,11,15,26,33
13,27,33,35,11
7,24,26,34,22
8,13,18,35,15
7,8,23,31,33
15,17,26,28,10
18,22,27,30,1
5,12,23,25,13
11,15,32,33,32
10,14,26,29,31
10,20,24,30,10
7,8,25,33,29
9,14,22,34,33
6,16,22,29,26
12,15,16,35,28
15,26,33,35,14
16,17,22,33,28
7,9,19,21,33
4,13,22,32,15
12,21,22,25,1
12,19,30,32,30
5,12,34,35,18
6,8,24,29,24
2,9,12,32,3
2,8,20,35,8
8,15,18,24,18
1,3,14,23,7
1,5,6,19,35
15,29,34,35,18
14,15,22,26,24
